event,date,label,image
http://www.wikidata.org/entity/Q164432,1568-06-02T00:00:00Z,Eighty Years' War,http://commons.wikimedia.org/wiki/Special:FilePath/Vel%C3%A1zquez%20-%20de%20Breda%20o%20Las%20Lanzas%20%28Museo%20del%20Prado%2C%201634-35%29.jpg
http://www.wikidata.org/entity/Q1763918,1532-04-01T00:00:00Z,Inca Civil War,http://commons.wikimedia.org/wiki/Special:FilePath/Mapa%20de%20la%20guerra%20civil%20Inca%2C%20Atahualpa%20al%20norte%20y%20Hu%C3%A1scar%20al%20sur.png
http://www.wikidata.org/entity/Q60830,1506-04-01T00:00:00Z,Lisbon Massacre,http://commons.wikimedia.org/wiki/Special:FilePath/Massacre%20de%20lisboa.jpg
http://www.wikidata.org/entity/Q677693,1503-01-01T00:00:00Z,War of the Succession of Landshut,http://commons.wikimedia.org/wiki/Special:FilePath/339Kufstein%20Belagerung.jpg
http://www.wikidata.org/entity/Q707364,1536-08-08T00:00:00Z,Count's Feud,http://commons.wikimedia.org/wiki/Special:FilePath/Christian%20III%20of%20Denmark.jpg
http://www.wikidata.org/entity/Q3016850,1588-01-24T00:00:00Z,War of the Polish Succession,http://commons.wikimedia.org/wiki/Special:FilePath/Byczyna%20battle.jpg
http://www.wikidata.org/entity/Q3298746,1580-01-01T00:00:00Z,War of the Portuguese Succession,http://commons.wikimedia.org/wiki/Special:FilePath/Desembarcoislasterceiras.jpg
http://www.wikidata.org/entity/Q3187015,1588-05-12T00:00:00Z,Day of the Barricades,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20duc%20de%20Guise%20lors%20de%20la%20journee%20des%20barricades%20by%20Paul%20Lehugeur%2019th%20century.jpg
http://www.wikidata.org/entity/Q1055358,1573-02-19T00:00:00Z,Croatian–Slovene peasant revolt,http://commons.wikimedia.org/wiki/Special:FilePath/Oton%20Ivekovic%2C%20Smaknuce%20Matije%20Gupca%20%28na%20trgu%20ispred%20crkve%20sv.%20Marka%20u%20Zagrebu%29.jpg
http://www.wikidata.org/entity/Q2213756,1586-07-26T00:00:00Z,Destruction of Neuss,http://commons.wikimedia.org/wiki/Special:FilePath/Neus%201586.jpg
http://www.wikidata.org/entity/Q513860,1566-01-01T00:00:00Z,beeldenstorm,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hogenberg%20Bildersturm%201566.jpg
http://www.wikidata.org/entity/Q5265413,1582-12-01T00:00:00Z,Destruction of the Oberstift,http://commons.wikimedia.org/wiki/Special:FilePath/Cologne%20War%201.svg
http://www.wikidata.org/entity/Q874235,1576-11-14T00:00:00Z,Sack of Antwerp,http://commons.wikimedia.org/wiki/Special:FilePath/Incendio%20Ayuntamiento%20Amberes.jpg
http://www.wikidata.org/entity/Q7253161,1525-04-20T00:00:00Z,Prussian Homage,http://commons.wikimedia.org/wiki/Special:FilePath/Prussian%20Homage.PNG
http://www.wikidata.org/entity/Q4674470,1599-01-01T00:00:00Z,Acoma Massacre,http://commons.wikimedia.org/wiki/Special:FilePath/Acoma%20New%20Mexico%201846%20-%201847.jpg
http://www.wikidata.org/entity/Q5194208,1583-07-25T00:00:00Z,Cuncolim Revolt,http://commons.wikimedia.org/wiki/Special:FilePath/Cuncolim%20Martyrs.jpg
http://www.wikidata.org/entity/Q60830,1506-04-01T00:00:00Z,Lisbon Massacre,http://commons.wikimedia.org/wiki/Special:FilePath/Massacre%20de%20lisboa.jpg
http://www.wikidata.org/entity/Q163891,1572-08-24T00:00:00Z,St. Bartholomew's Day massacre,http://commons.wikimedia.org/wiki/Special:FilePath/La%20masacre%20de%20San%20Bartolom%C3%A9%2C%20por%20Fran%C3%A7ois%20Dubois.jpg
http://www.wikidata.org/entity/Q846876,1520-01-01T00:00:00Z,Stockholm Bloodbath,http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm%20Bloodbath.jpg
http://www.wikidata.org/entity/Q1086489,1562-03-11T00:00:00Z,massacre of Vassy,http://commons.wikimedia.org/wiki/Special:FilePath/Massacre%20de%20Vassy%201562%20print%20by%20Hogenberg%20end%20of%2016th%20century.jpg
http://www.wikidata.org/entity/Q1086489,1562-03-11T00:00:00Z,massacre of Vassy,http://commons.wikimedia.org/wiki/Special:FilePath/Massacre%20of%20Vassy.jpg
http://www.wikidata.org/entity/Q19996396,1580-06-09T00:00:00Z,Taking of Diest,http://commons.wikimedia.org/wiki/Special:FilePath/Taking%20of%20Diest%20%281580%29%20engraved%20by%20Frans%20Hogenberg.jpg
http://www.wikidata.org/entity/Q787963,1586-01-01T00:00:00Z,Babington Plot,http://commons.wikimedia.org/wiki/Special:FilePath/Babington%20postscript.jpg
http://www.wikidata.org/entity/Q465627,1527-05-06T00:00:00Z,"Sack of Rome, 1527",http://commons.wikimedia.org/wiki/Special:FilePath/Sack%20of%20Rome%20of%201527%20by%20Johannes%20Lingelbach%2017th%20century.jpg
http://www.wikidata.org/entity/Q2066129,1557-08-20T00:00:00Z,Battle of St. Quentin,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20St.%20Quentin%201557%20map%20NL.png
http://www.wikidata.org/entity/Q63472138,1600-01-01T00:00:00Z,cocoliztli epidemic,http://commons.wikimedia.org/wiki/Special:FilePath/FlorentineCodex%20BK12%20F54%20smallpox.jpg
http://www.wikidata.org/entity/Q169598,1582-07-01T00:00:00Z,Honnō-ji Incident,http://commons.wikimedia.org/wiki/Special:FilePath/Honnoj.jpg
http://www.wikidata.org/entity/Q3424110,1580-01-01T00:00:00Z,Portugal–Spain relations,http://commons.wikimedia.org/wiki/Special:FilePath/La%20reapertura%20de%20la%20frontera%20entre%20Espa%C3%B1a%20y%20Portugal%2C%20Badajoz%20y%20Elvas%2C%20mi%C3%A9rcoles%201%20de%20julio%20de%202020%20%2805%29.png
http://www.wikidata.org/entity/Q112716652,1509-07-04T00:00:00Z,coronation of Henry VIII and Catherine of Aragon,http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20VIII%20Catherine%20of%20Aragon%20coronation%20woodcut.jpg
http://www.wikidata.org/entity/Q662874,1515-07-01T00:00:00Z,First Congress of Vienna,http://commons.wikimedia.org/wiki/Special:FilePath/Wiener%20Doppelhochzeit.jpg
http://www.wikidata.org/entity/Q56296380,1540-01-01T00:00:00Z,Drought in Central Europe 1540,http://commons.wikimedia.org/wiki/Special:FilePath/Residence%20W%C3%BCrzburg%20-%20Wine%20cellar%202.JPG
http://www.wikidata.org/entity/Q2293284,1540-10-21T00:00:00Z,Battle of Alborán,http://commons.wikimedia.org/wiki/Special:FilePath/Kad%C4%B1rga%20Minyat%C3%BCr.jpg
http://www.wikidata.org/entity/Q2297059,1545-07-29T00:00:00Z,Battle of the Solent,http://commons.wikimedia.org/wiki/Special:FilePath/Cowdray%20engraving-full-lowres.jpg
http://www.wikidata.org/entity/Q2386251,1573-10-11T00:00:00Z,Battle on the Zuiderzee,http://commons.wikimedia.org/wiki/Special:FilePath/Slag%20op%20de%20Zuiderzee%20-%20Battle%20of%20the%20Zuiderzee%20in%201573%20%28Frans%20Hogenberg%29.jpg
http://www.wikidata.org/entity/Q15197201,1592-08-13T00:00:00Z,Battle of Flores,http://commons.wikimedia.org/wiki/Special:FilePath/Great%20Carrack%20%27Madre%20de%20Dios%27.jpg
http://www.wikidata.org/entity/Q38251362,1519-04-25T00:00:00Z,Battle of Pianosa,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Preveza%20%281538%29.jpg
http://www.wikidata.org/entity/Q55605053,1553-08-01T00:00:00Z,Battle of the Strait of Hormuz,http://commons.wikimedia.org/wiki/Special:FilePath/Lisuarte%20de%20Abreu-Hormuz.png
http://www.wikidata.org/entity/Q484271,1598-12-16T00:00:00Z,Battle of Noryang,http://commons.wikimedia.org/wiki/Special:FilePath/Navalzhugenu2.jpg
http://www.wikidata.org/entity/Q1392,1600-07-02T00:00:00Z,Battle of Nieuwpoort,http://commons.wikimedia.org/wiki/Special:FilePath/Maurits%20%281567-1625%29%2C%20prins%20van%20Oranje%2C%20in%20de%20slag%20bij%20Nieuwpoort%20%281600%29.jpg
http://www.wikidata.org/entity/Q145934,1589-01-01T00:00:00Z,English Armada,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Coru%C3%B1a.%20Mar%C3%ADa%20Pita%E2%80%99s%20statue.%20Galicia%20%28Spain%29.jpg
http://www.wikidata.org/entity/Q165425,1571-10-07T00:00:00Z,Battle of Lepanto,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Lepanto%201571.jpg
http://www.wikidata.org/entity/Q2744068,1543-07-25T00:00:00Z,Battle of Muros Bay,http://commons.wikimedia.org/wiki/Special:FilePath/Finis7803.png
http://www.wikidata.org/entity/Q2890949,1574-05-30T00:00:00Z,Battle of Lillo,http://commons.wikimedia.org/wiki/Special:FilePath/WLANL%20-%20mennofokke%20-%20Wandtapijt%2C%20De%20slag%20voor%20Lillo%2C%20Jan%20de%20Maecht%2C%2030%20mei%201574.jpg
http://www.wikidata.org/entity/Q3368187,1563-05-30T00:00:00Z,Action of 30 May 1563,http://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20Brockenhuus%27%20s%C3%B8slag%20ved%20Bornholm%2C%201563.png
http://www.wikidata.org/entity/Q1814248,1573-06-05T00:00:00Z,Battle of Haarlemmermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Vroom%20Hendrick%20Cornelisz%20Battle%20of%20Haarlemmermeer.jpg
http://www.wikidata.org/entity/Q1628477,1509-02-03T00:00:00Z,Battle of Diu,http://commons.wikimedia.org/wiki/Special:FilePath/Diu1.jpg
http://www.wikidata.org/entity/Q4870470,1591-07-15T00:00:00Z,Battle of Berlengas Islands,http://commons.wikimedia.org/wiki/Special:FilePath/George%20Clifford%203rd%20Earl%20of%20Cumberland%20after%20Nicholas%20Hilliard.jpg
http://www.wikidata.org/entity/Q4871029,1591-09-01T00:00:00Z,Battle of Flores,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Last%20fight%20of%20the%20Revenge%20off%20Flores%20in%20the%20Azores%201591%20by%20Charles%20Dixon.jpg
http://www.wikidata.org/entity/Q4871030,1529-01-01T00:00:00Z,Battle of Formentera,http://commons.wikimedia.org/wiki/Special:FilePath/Barbarossa%20galley%20in%20France%201543.jpg
http://www.wikidata.org/entity/Q4872923,1554-09-04T00:00:00Z,Battle of the Gulf of Oman,http://commons.wikimedia.org/wiki/Special:FilePath/Cannon%20of%20Suleyman%20founded%20by%20Mohammed%20ibn%20Hamza%20in%201530%201531%20for%20a%20Turkish%20invasion%20of%20India%20taken%20in%20the%20capture%20of%20Aden%20in%201839%20by%20Cap%20H%20Smith%20of%20HMS%20Volage%20with%20inscriptions.jpg
http://www.wikidata.org/entity/Q575924,1512-08-10T00:00:00Z,Battle of Saint-Mathieu,http://commons.wikimedia.org/wiki/Special:FilePath/Cordeliere%20and%20Regent.jpg
http://www.wikidata.org/entity/Q613478,1560-05-24T00:00:00Z,Battle of Djerba,http://commons.wikimedia.org/wiki/Special:FilePath/Gulf%20and%20Island%20of%20Djerba%20by%20Piri%20Reis.jpg
http://www.wikidata.org/entity/Q679831,1573-04-17T00:00:00Z,Battle of Flushing,http://commons.wikimedia.org/wiki/Special:FilePath/Slag%20bij%20Vlissingen%20%28Michiel%20Colijn%2C%201616%29.jpg
http://www.wikidata.org/entity/Q957491,1587-07-06T00:00:00Z,Singeing the King of Spain's Beard,http://commons.wikimedia.org/wiki/Special:FilePath/AtaqueDrakes.jpg
http://www.wikidata.org/entity/Q1054975,1538-09-28T00:00:00Z,Battle of Preveza,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Preveza%20%281538%29.jpg
http://www.wikidata.org/entity/Q1054975,1538-09-28T00:00:00Z,Battle of Preveza,http://commons.wikimedia.org/wiki/Special:FilePath/IAN%200137%20Urrabieta%20y%20Ortiz%201859%20Preveza.jpg
http://www.wikidata.org/entity/Q5783527,1524-01-01T00:00:00Z,Spanish conquest of El Salvador,http://commons.wikimedia.org/wiki/Special:FilePath/Guerra%20de%20Cuzcatl%C3%A1n.png
http://www.wikidata.org/entity/Q5783538,1509-05-01T00:00:00Z,Conquest of Oran,http://commons.wikimedia.org/wiki/Special:FilePath/Cisneros%20en%20la%20Toma%20de%20Oran%20Juan%20De%20Borgo%C3%B1a%201514.jpeg
http://www.wikidata.org/entity/Q1429256,1526-01-01T00:00:00Z,War of the League of Cognac,http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20charles%20v.png
http://www.wikidata.org/entity/Q598774,1600-01-01T00:00:00Z,Polish–Swedish War (1600–11),http://commons.wikimedia.org/wiki/Special:FilePath/Kirholm%201605%20I.JPG
http://www.wikidata.org/entity/Q636771,1532-01-01T00:00:00Z,Spanish conquest of the Inca Empire,http://commons.wikimedia.org/wiki/Special:FilePath/Inca-Spanish%20confrontation.JPG
http://www.wikidata.org/entity/Q1106847,1507-01-01T00:00:00Z,Portuguese conquest of Ormuz,http://commons.wikimedia.org/wiki/Special:FilePath/Fortress%20of%20Hormuz.jpg
http://www.wikidata.org/entity/Q2357384,1510-12-05T00:00:00Z,Portuguese Conquest of Goa,http://commons.wikimedia.org/wiki/Special:FilePath/%22Plan%20de%20Goa%22%2C%20in%20Histoire%20g%C3%A9n%C3%A9rale%20des%20voyages%2C1750.jpg
http://www.wikidata.org/entity/Q2993582,1524-01-01T00:00:00Z,Spanish conquest of Guatemala,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20de%20Alvarado%20%28Tom%C3%A1s%20Povedano%29.jpg
http://www.wikidata.org/entity/Q431806,1546-01-01T00:00:00Z,Arauco War,http://commons.wikimedia.org/wiki/Special:FilePath/Guerra%20Arauco.jpg
http://www.wikidata.org/entity/Q524189,1583-01-01T00:00:00Z,Cologne War,http://commons.wikimedia.org/wiki/Special:FilePath/Inname%20van%20Godesberg%20-%20Capture%20and%20destruction%20of%20Godesburg%20in%201583%20%28Frans%20Hogenberg%29.jpg
http://www.wikidata.org/entity/Q576338,1598-12-16T00:00:00Z,Japanese invasions of Korea,http://commons.wikimedia.org/wiki/Special:FilePath/Siege-of-Busanjin-1592.jpg
http://www.wikidata.org/entity/Q923852,1570-01-01T00:00:00Z,Crimean-Russian Wars,http://commons.wikimedia.org/wiki/Special:FilePath/S.%20V.%20Ivanov.%20At%20the%20guarding%20border%20of%20the%20Moscow%20state.%20%281907%29.jpg
http://www.wikidata.org/entity/Q924600,1598-01-01T00:00:00Z,War against Sigismund,http://commons.wikimedia.org/wiki/Special:FilePath/Sigismunds%20truppf%C3%B6rflyttningar%20under%20Kriget%20mot%20Sigismund.gif
http://www.wikidata.org/entity/Q961430,1570-07-07T00:00:00Z,Ottoman–Venetian War of 1570–1573,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Lepanto%201571.jpg
http://www.wikidata.org/entity/Q1164169,1547-10-01T00:00:00Z,Burmese–Siamese War of 1547–1549,http://commons.wikimedia.org/wiki/Special:FilePath/Burmese-Siamese%20War%20of%201548-49.svg
http://www.wikidata.org/entity/Q246863,1558-02-01T00:00:00Z,Livonian War,http://commons.wikimedia.org/wiki/Special:FilePath/Siege%20of%20Narva%201558.jpg
http://www.wikidata.org/entity/Q370963,1554-01-01T00:00:00Z,Russo-Swedish War of 1554–57,http://commons.wikimedia.org/wiki/Special:FilePath/Facial%20Chronicle%20-%20b.22%2C%20p.%20328%20-%20Swedish%20ambassador.gif
http://www.wikidata.org/entity/Q430726,1585-01-01T00:00:00Z,Anglo-Spanish War,http://commons.wikimedia.org/wiki/Special:FilePath/Invincible%20Armada.jpg
http://www.wikidata.org/entity/Q56296380,1540-01-01T00:00:00Z,Drought in Central Europe 1540,http://commons.wikimedia.org/wiki/Special:FilePath/Residence%20W%C3%BCrzburg%20-%20Wine%20cellar%202.JPG
http://www.wikidata.org/entity/Q631799,1568-01-01T00:00:00Z,Russo-Turkish War (1568–1570),http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%BE-%D1%82%D1%83%D1%80%D0%B5%D1%86%D0%BA%D0%B0%D1%8F%20%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0%201568.jpg
http://www.wikidata.org/entity/Q636365,1508-01-01T00:00:00Z,War of the League of Cambrai,http://commons.wikimedia.org/wiki/Special:FilePath/Northern%20Italy%20in%201494.png
http://www.wikidata.org/entity/Q186336,1568-01-01T00:00:00Z,Dutch Revolt,http://commons.wikimedia.org/wiki/Special:FilePath/BattleOfHeiligerlee.jpg
http://www.wikidata.org/entity/Q233594,1531-10-11T00:00:00Z,Second War of Kappel,http://commons.wikimedia.org/wiki/Special:FilePath/Schlacht%20bei%20Kappel.jpg
http://www.wikidata.org/entity/Q2280714,1600-05-01T00:00:00Z,Burmese–Siamese War (1594–1605),http://commons.wikimedia.org/wiki/Special:FilePath/Siam%20Invasion%20of%20Burma%20%281594-1600%29%20map.jpg
http://www.wikidata.org/entity/Q2452024,1530-01-01T00:00:00Z,Italian War of 1536–1538,http://commons.wikimedia.org/wiki/Special:FilePath/Truce%20of%20Nice%201538.jpg
http://www.wikidata.org/entity/Q735349,1580-01-01T00:00:00Z,Russian conquest of Siberia,http://commons.wikimedia.org/wiki/Special:FilePath/Surikov%20Pokoreniye%20Sibiri%20Yermakom.jpg
http://www.wikidata.org/entity/Q762191,1538-01-01T00:00:00Z,Ottoman–Portuguese conflicts,http://commons.wikimedia.org/wiki/Special:FilePath/Ottoman%20fleet%20Indian%20Ocean%2016th%20century.jpg
http://www.wikidata.org/entity/Q701644,1578-01-01T00:00:00Z,Ottoman–Safavid War,http://commons.wikimedia.org/wiki/Special:FilePath/OttomanEmpireIn1683.png
http://www.wikidata.org/entity/Q688308,1521-01-01T00:00:00Z,Swedish War of Liberation,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Entry%20of%20King%20Gustav%20Vasa%20of%20Sweden%20into%20Stockholm%2C%201523%20%28Carl%20Larsson%29%20-%20Nationalmuseum%20-%2023935.tif
http://www.wikidata.org/entity/Q698281,1521-01-01T00:00:00Z,Italian War of 1521–1526,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Pavia%2C%20oil%20on%20panel.jpg
http://www.wikidata.org/entity/Q700841,1532-01-01T00:00:00Z,Ottoman–Safavid War,http://commons.wikimedia.org/wiki/Special:FilePath/Sueleymanname%20nahcevan.jpg
http://www.wikidata.org/entity/Q151663,1520-04-26T00:00:00Z,Revolt of the Comuneros,http://commons.wikimedia.org/wiki/Special:FilePath/Comuneros.jpg
http://www.wikidata.org/entity/Q164432,1568-06-02T00:00:00Z,Eighty Years' War,http://commons.wikimedia.org/wiki/Special:FilePath/Vel%C3%A1zquez%20-%20de%20Breda%20o%20Las%20Lanzas%20%28Museo%20del%20Prado%2C%201634-35%29.jpg
http://www.wikidata.org/entity/Q2915203,1529-01-01T00:00:00Z,Ethiopian–Adal War,http://commons.wikimedia.org/wiki/Special:FilePath/YagbeaSionBattlingAdaSultan.JPG
http://www.wikidata.org/entity/Q3119136,1537-01-01T00:00:00Z,Third Ottoman–Venetian War,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Preveza%20%281538%29.jpg
http://www.wikidata.org/entity/Q3280731,1519-01-01T00:00:00Z,Mexican Indian Wars,http://commons.wikimedia.org/wiki/Special:FilePath/Conquista-de-M%C3%A9xico-por-Cort%C3%A9s-Tenochtitlan-Painting.png
