event,date,label,image
http://www.wikidata.org/entity/Q743768,1135-12-29T00:00:00Z,The Anarchy,http://commons.wikimedia.org/wiki/Special:FilePath/BattleOf%20Lincoln.jpg
http://www.wikidata.org/entity/Q847851,1107-01-01T00:00:00Z,Norwegian Crusade,http://commons.wikimedia.org/wiki/Special:FilePath/Magnussonnenes%20saga%202%20-%20G.%20Munthe.jpg
http://www.wikidata.org/entity/Q51655,1192-09-09T00:00:00Z,Third Crusade,http://commons.wikimedia.org/wiki/Special:FilePath/Siege%20of%20Acre.jpg
http://www.wikidata.org/entity/Q683635,1147-01-01T00:00:00Z,Wendish Crusade,http://commons.wikimedia.org/wiki/Special:FilePath/Wojciech%20Gerson-Oplakane%20apostolstwo.jpg
http://www.wikidata.org/entity/Q51653,1101-01-01T00:00:00Z,Crusade of 1101,http://commons.wikimedia.org/wiki/Special:FilePath/Crusade%20of%201101%20v1.svg
http://www.wikidata.org/entity/Q51654,1147-01-01T00:00:00Z,Second Crusade,http://commons.wikimedia.org/wiki/Special:FilePath/Asia%20minor%201140.jpg
http://www.wikidata.org/entity/Q737542,1180-01-01T00:00:00Z,Genpei War,http://commons.wikimedia.org/wiki/Special:FilePath/Genpei%20kassen.jpg
http://www.wikidata.org/entity/Q743768,1135-12-29T00:00:00Z,The Anarchy,http://commons.wikimedia.org/wiki/Special:FilePath/BattleOf%20Lincoln.jpg
http://www.wikidata.org/entity/Q944859,1160-02-12T00:00:00Z,Heiji rebellion,http://commons.wikimedia.org/wiki/Special:FilePath/Heiji%20rokuhara%20gyoukou.jpg
http://www.wikidata.org/entity/Q73140,1177-01-01T00:00:00Z,Shishigatani Incident,http://commons.wikimedia.org/wiki/Special:FilePath/Daimonji%20shunkan.jpg
http://www.wikidata.org/entity/Q944859,1160-02-12T00:00:00Z,Heiji rebellion,http://commons.wikimedia.org/wiki/Special:FilePath/Heiji%20rokuhara%20gyoukou.jpg
